from,to1,to2
Acordo de nível de serviço de gestão ambiental,Meio ambiente,Meio ambiente
Indicadores ambientais,Meio ambiente,Meio ambiente
Gestão de conflitos da atividade minerária,Meio ambiente,Meio ambiente
Instrumentos de planejamento e gestão ambiental,Meio ambiente,Meio ambiente
Avaliação ambiental,Meio ambiente,Meio ambiente
Avaliação ambiental estratégica,Meio ambiente,Meio ambiente
Avaliação ambiental integrada de bacia hidrográfica,Meio ambiente,Meio ambiente
Avaliação de impactos ambientais,Meio ambiente,Meio ambiente
Licenciamento ambiental,Meio ambiente,Meio ambiente
Compensação ambiental,Meio ambiente,Meio ambiente
Estudo de impacto ambiental - EIA,Meio ambiente,Meio ambiente
Licenças ambientais,Meio ambiente,Meio ambiente
Licença de instalação,Meio ambiente,Meio ambiente
Licença de operação,Meio ambiente,Meio ambiente
Licença prévia,Meio ambiente,Meio ambiente
Licenciamentos especiais,Meio ambiente,Meio ambiente
Atividades de turismo,Meio ambiente,Meio ambiente
Empreendimentos hidrelétricos,Meio ambiente,Meio ambiente
Participação e controle,Meio ambiente,Meio ambiente
Audiências públicas,Meio ambiente,Meio ambiente
Procedimentos técnicos e administrativos,Meio ambiente,Meio ambiente
Projeto básico ambiental,Meio ambiente,Meio ambiente
Relatório de impacto ambiental - RIMA,Meio ambiente,Meio ambiente
Ordenamento territorial,Meio ambiente,Meio ambiente
Informações geográficas,Meio ambiente,Meio ambiente
Sistemas georreferenciados,Meio ambiente,Meio ambiente
Organização da produção,Meio ambiente,Meio ambiente
Transição agroecológica de sistemas de produção,Meio ambiente,Meio ambiente
Zoneamento agro-ecológico,Meio ambiente,Meio ambiente
Zoneamento ecológico e econômico - ZEE,Meio ambiente,Meio ambiente
Planejamento ambiental da aquicultura,Meio ambiente,Meio ambiente
Infrações ambientais,Meio ambiente,Meio ambiente
Áreas embargadas pelo IBAMA,Meio ambiente,Meio ambiente
Mapas georreferenciados,Meio ambiente,Meio ambiente
Biopirataria,Meio ambiente,Meio ambiente
Crimes ambientais,Meio ambiente,Meio ambiente
Ilícitos associados,Meio ambiente,Meio ambiente
Relacionados à unidades de conservação e zonas de amortecimento,Meio ambiente,Meio ambiente
Monitoramento da cobertura vegetal,Meio ambiente,Meio ambiente
Polícia ambiental,Meio ambiente,Meio ambiente
Sanções,Meio ambiente,Meio ambiente
Sanções administrativas,Meio ambiente,Meio ambiente
Conversão de multas de sanções administrativas,Meio ambiente,Meio ambiente
Sanções administrativas compensatórias,Meio ambiente,Meio ambiente
Sanções cíveis,Meio ambiente,Meio ambiente
Sanções criminais,Meio ambiente,Meio ambiente
Qualidade ambiental,Meio ambiente,Meio ambiente
Atmosfera,Meio ambiente,Meio ambiente
Camada de ozônio,Meio ambiente,Meio ambiente
Convenção de Viena e protocolo de Montreal,Meio ambiente,Meio ambiente
Conversão tecnológica,Meio ambiente,Meio ambiente
Gerenciamento do passivo das substâncias destruidoras da camada de ozônio,Meio ambiente,Meio ambiente
Substâncias que destroem a camada de ozônio,Meio ambiente,Meio ambiente
Qualidade do ar,Meio ambiente,Meio ambiente
Poluentes atmosféricos,Meio ambiente,Meio ambiente
Poluição sonora,Meio ambiente,Meio ambiente
Combate à desertificação,Meio ambiente,Meio ambiente
Áreas susceptíveis à desertificação,Meio ambiente,Meio ambiente
Convenção das nações unidas de combate à desertificação,Meio ambiente,Meio ambiente
Degradação da terra nas áreas semi-áridas e subúmidas secas,Meio ambiente,Meio ambiente
Erosão do solo,Meio ambiente,Meio ambiente
Mitigação dos efeitos das secas,Meio ambiente,Meio ambiente
Combate ao desmatamento,Meio ambiente,Meio ambiente
Áreas desmatadas,Meio ambiente,Meio ambiente
Desmatamento ilegal,Meio ambiente,Meio ambiente
Desmatamento na Amazônia,Meio ambiente,Meio ambiente
Exploração ilegal de madeira,Meio ambiente,Meio ambiente
Prevenção e controle do meio ambiente,Meio ambiente,Meio ambiente
Fragmentação,Meio ambiente,Meio ambiente
Monitoramento,Meio ambiente,Meio ambiente
Detecção do desmatamento em tempo real - DETER,Meio ambiente,Meio ambiente
Energia e meio ambiente,Meio ambiente,Meio ambiente
Conservação de energia,Meio ambiente,Meio ambiente
Eficiência energética,Meio ambiente,Meio ambiente
Energia não renováveis,Meio ambiente,Meio ambiente
Carvão mineral,Meio ambiente,Meio ambiente
Energia nuclear,Meio ambiente,Meio ambiente
Gás natural,Meio ambiente,Meio ambiente
Petróleo,Meio ambiente,Meio ambiente
Energias renováveis,Meio ambiente,Meio ambiente
Biomassa,Meio ambiente,Meio ambiente
Biocombustível,Meio ambiente,Meio ambiente
Biogás,Meio ambiente,Meio ambiente
Esgoto sanitário,Meio ambiente,Meio ambiente
Resíduos agropecuários,Meio ambiente,Meio ambiente
Resíduos florestais,Meio ambiente,Meio ambiente
Resíduos sólidos urbanos,Meio ambiente,Meio ambiente
Eólica,Meio ambiente,Meio ambiente
Geotérmica,Meio ambiente,Meio ambiente
Hídrica,Meio ambiente,Meio ambiente
Maremotriz,Meio ambiente,Meio ambiente
Solar,Meio ambiente,Meio ambiente
Matriz energética ambientalmente adequada,Meio ambiente,Meio ambiente
Monitoramento do meio ambiente,Meio ambiente,Meio ambiente
Avaliação da qualidade ambiental,Meio ambiente,Meio ambiente
Indicadores ambientais,Meio ambiente,Meio ambiente
Mudanças climáticas,Meio ambiente,Meio ambiente
Adaptação à mudança do clima,Meio ambiente,Meio ambiente
Aquecimento global,Meio ambiente,Meio ambiente
Convenção sobre mudança do clima,Meio ambiente,Meio ambiente
Efeito estufa,Meio ambiente,Meio ambiente
Mecanismo de desenvolvimento limpo - MDL,Meio ambiente,Meio ambiente
Mitigação da mudança do clima,Meio ambiente,Meio ambiente
Protocolo de Quioto,Meio ambiente,Meio ambiente
Resíduos e rejeitos,Meio ambiente,Meio ambiente
Aterros sanitários,Meio ambiente,Meio ambiente
Cemitérios,Meio ambiente,Meio ambiente
Drenagem pluvial,Meio ambiente,Meio ambiente
Gestão integrada de resíduos sólidos urbanos,Meio ambiente,Meio ambiente
Consórcios públicos,Meio ambiente,Meio ambiente
Valorização dos resíduos sólidos,Meio ambiente,Meio ambiente
Minimização de rejeitos,Meio ambiente,Meio ambiente
Materiais perigosos,Meio ambiente,Meio ambiente
Minimização dos impactos gerados por resíduos perigosos,Meio ambiente,Meio ambiente
Resíduos hospitalares,Meio ambiente,Meio ambiente
Resíduos químicos,Meio ambiente,Meio ambiente
Resíduos radiotivos,Meio ambiente,Meio ambiente
Resíduos tóxicos,Meio ambiente,Meio ambiente
Reciclagem,Meio ambiente,Meio ambiente
Resíduos comerciais,Meio ambiente,Meio ambiente
Resíduos da construção civil e demolição,Meio ambiente,Meio ambiente
Resíduos domiciliares,Meio ambiente,Meio ambiente
Resíduos rurais,Meio ambiente,Meio ambiente
Agrotóxicos,Meio ambiente,Meio ambiente
Saneamento ambiental urbano,Meio ambiente,Meio ambiente
Tratamento e disposição de esgoto,Meio ambiente,Meio ambiente
Segurança química,Meio ambiente,Meio ambiente
Substâncias químicas,Meio ambiente,Meio ambiente
Emergências ambientais,Meio ambiente,Meio ambiente
Gerenciamento de áreas contaminadas,Meio ambiente,Meio ambiente
Gerenciamento de substancias e resíduos,Meio ambiente,Meio ambiente
Agrotóxicos,Meio ambiente,Meio ambiente
Comissão nacional de segurança química - CONASQ,Meio ambiente,Meio ambiente
Fórum intergovernamental,Meio ambiente,Meio ambiente
Gestão internacional das substâncias químicas - SAICM,Meio ambiente,Meio ambiente
Movimento transfronteiriços,Meio ambiente,Meio ambiente
Pneus,Meio ambiente,Meio ambiente
Poluentes orgânicos persistentes,Meio ambiente,Meio ambiente
Registro de emissão e transferências de poluentes,Meio ambiente,Meio ambiente
Resíduos perigosos,Meio ambiente,Meio ambiente
Prevenção e combate à poluição,Meio ambiente,Meio ambiente
Assistência e desenvolvimento social,Proteção Social,Proteção Social
Auxilio sociais,Proteção Social,Proteção Social
Entidades de assistência,Proteção Social,Proteção Social
Programas de transferência de renda,Proteção Social,Proteção Social
Proteção social básica,Proteção Social,Proteção Social
Proteção social especial à pessoa em situação de risco,Proteção Social,Proteção Social
Trabalho social voluntário,Proteção Social,Proteção Social
Comunidade e sociedade,Proteção Social,Proteção Social
Minorias,Proteção Social,Proteção Social
Povos indígenas,Proteção Social,Proteção Social
Previdência social,Previdência Social,Previdência Social
Beneficio assistencial ao idoso e ao deficiente,Previdência Social,Previdência Social
Beneficio previdenciários,Previdência Social,Previdência Social
Aposentadoria especial,Previdência Social,Previdência Social
Aposentadoria por idade,Previdência Social,Previdência Social
Aposentadoria por invalidez,Previdência Social,Previdência Social
Aposentadoria por tempo de contribuição,Previdência Social,Previdência Social
Auxilio doença,Previdência Social,Previdência Social
Auxilio reclusão,Previdência Social,Previdência Social
Pensão por morte,Previdência Social,Previdência Social
Salário família,Previdência Social,Previdência Social
Salário maternidade,Previdência Social,Previdência Social
Pensões,Previdência Social,Previdência Social
Previdência básica,Previdência Social/Previdência Básica,Previdência Básica
Previdência complementar,Previdência Social/Previdência Complementar,Previdência Complementar
Previdência do regime estatutário,Previdência Social,Previdência Social
Previdência do servidor,Previdência Social,Previdência Social
Reabilitação profissional,Previdência Social,Previdência Social
Proteção e defesa do cidadão,Proteção Social/Combate a desigualdade,Combate a desigualdade
Assistência jurídica gratuita,Proteção Social/Combate a desigualdade,Combate a desigualdade
"Classificação indicativa de vídeos, jogos, cinemas e outros",Proteção Social/Combate a desigualdade,Combate a desigualdade
Defesa do consumidor,Proteção Social/Combate a desigualdade,Combate a desigualdade
Denúncia,Proteção Social/Combate a desigualdade,Combate a desigualdade
Ouvidoria,Proteção Social/Combate a desigualdade,Combate a desigualdade
Relações internacionais,Relações Internacionais,Relações Internacionais
Estrangeiro,Relações Internacionais,Relações Internacionais
Carteira de identificação do estrangeiro,Relações Internacionais,Relações Internacionais
Extradição,Relações Internacionais,Relações Internacionais
Igualdade de direitos do estrangeiro,Relações Internacionais,Relações Internacionais
Naturalização,Relações Internacionais,Relações Internacionais
Permanência do estrangeiro,Relações Internacionais,Relações Internacionais
Trabalho estrangeiro,Relações Internacionais,Relações Internacionais
Organizações internacionais,Relações Internacionais,Relações Internacionais
Grupos e organismos políticos internacionais,Relações Internacionais,Relações Internacionais
Política externa,Relações Internacionais,Relações Internacionais
Acordos internacionais,Relações Internacionais,Relações Internacionais
Asilo político,Relações Internacionais,Relações Internacionais
Convenção internacional,Relações Internacionais,Relações Internacionais
Tratado internacional,Relações Internacionais,Relações Internacionais
Cooperação jurídica internacional,Relações Internacionais,Relações Internacionais
Mercosul e integração regional,Relações Internacionais,Relações Internacionais
Relações bilaterais,Relações Internacionais,Relações Internacionais
Promoção comercial internacional,Comércio e Serviços/Comercio externo,Comercio externo
Relações diplomáticas,Relações Internacionais/Relações Diplomáticas,Relações Diplomáticas
Serviços consulares,Relações Internacionais,Relações Internacionais
Representações brasileira no exterior,Relações Internacionais,Relações Internacionais
Representações estrangeira no Brasil,Relações Internacionais,Relações Internacionais
Saúde,Saúde,Saúde
Alimentação e nutrição,Saúde,Saúde
Alimentação saudável,Saúde,Saúde
Segurança alimentar e nutricional,Saúde,Saúde
Transtornos alimentares,Saúde,Saúde
Desnutrição,Saúde,Saúde
Obesidade,Saúde,Saúde
Ambiente e saúde,Saúde,Saúde
Resíduos de serviços de saúde,Saúde,Saúde
Resíduos industriais,Saúde,Saúde
Resíduos perigosos,Saúde,Saúde
Saneamento,Saúde,Saúde
Arquitetura e engenharia em saúde,Saúde,Saúde
Equipamentos médico-hospitalares,Saúde,Saúde
Auditoria em saúde,Saúde,Saúde
Ciência e tecnologia em saúde,Saúde,Saúde
Bioética,Saúde,Saúde
Pesquisa em saúde,Saúde,Saúde
Tecnologia em saúde,Saúde,Saúde
Educação para a saúde,Saúde,Saúde
Campanhas de saúde,Saúde,Saúde
AIDS,Saúde,Saúde
Dengue,Saúde,Saúde
DST,Saúde,Saúde
Gripe,Saúde,Saúde
Paralisia infantil,Saúde,Saúde
Emergências e Urgências,Saúde,Saúde
Primeiros socorros,Saúde,Saúde
Bombeiro 193,Saúde,Saúde
SAMU 192,Saúde,Saúde
UPA 24 horas,Saúde,Saúde
Pronto socorro,Saúde,Saúde
Ética de profissionais de saúde,Saúde,Saúde
Farmácia,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Farmácia básica,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Farmácia hospitalar,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Farmácia popular,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Humanização na saúde,Saúde,Saúde
Infecção hospitalar,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Legislação de saúde,Saúde,Saúde
Medicamentos,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Custos de medicamentos,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Medicamentos essenciais,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Medicamentos fitoterápicos,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Medicamentos fracionados,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Medicamentos genéricos,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Medicamentos proibidos,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Medicamentos similares,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Qualidade dos medicamento,Saúde/Medicamentos e aparelhos,Medicamentos e aparelhos
Medicina natural,Saúde,Saúde
Acupuntura,Saúde,Saúde
Fitoterapia,Saúde,Saúde
Homeopatia,Saúde,Saúde
Orçamento de saúde,Saúde,Saúde
Participação e controle social em saúde,Saúde,Saúde
Conselhos de saúde,Saúde,Saúde
Direito dos usuários dos serviços de saúde,Saúde,Saúde
Ouvidoria,Saúde,Saúde
Recursos humanos em saúde,Saúde,Saúde
Gestão da educação em saúde,Saúde,Saúde
Gestão do trabalho em saúde,Saúde,Saúde
Sangue e hemoderivados,Saúde,Saúde
Banco de sangue,Saúde,Saúde
Saúde bucal,Saúde,Saúde
Brasil Sorridente,Saúde,Saúde
Saúde da criança,Saúde,Saúde
Aleitamento materno,Saúde,Saúde
Banco de leite humano,Saúde,Saúde
Mortalidade infantil,Saúde,Saúde
Saúde da família,Saúde,Saúde
Saúde da mulher,Saúde,Saúde
Mortalidade materna,Saúde,Saúde
Saúde da população negra,Saúde,Saúde
Saúde do adolescente e do jovem,Saúde,Saúde
Saúde do homem,Saúde,Saúde
Saúde do idoso,Saúde,Saúde
Saúde do indígena,Saúde,Saúde
Saúde do trabalhador,Saúde,Saúde
Saúde do viajante,Saúde,Saúde
Vacinação do viajante,Saúde,Saúde
Certificado Internacional de Vacinação e Profilaxia (CIVP),Saúde,Saúde
Saúde dos portadores de deficiências,Saúde,Saúde
Saúde mental,Saúde,Saúde
Saúde no sistema penitenciário,Saúde,Saúde
Saúde ocular,Saúde,Saúde
Saúde reprodutiva,Saúde,Saúde
Sistema de informação em saúde,Saúde,Saúde
Cadastro nacional de estabelecimento de saúde,Saúde,Saúde
Cartão nacional de saúde,Saúde,Saúde
Estatísticas em saúde,Saúde,Saúde
Sistema de saúde,Saúde,Saúde
Sistema de saúde suplementar,Saúde,Saúde
Planos de saúde,Saúde,Saúde
Sistema Único de Saúde (SUS),Saúde,Saúde
Planejamento e administração em saúde pública,Saúde,Saúde
Políticas e diretrizes para o SUS,Saúde,Saúde
Transplantes de órgãos e tecidos,Saúde,Saúde
Unidades de saúde,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Ambulatório,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Hospital,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Policlínica,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Posto de saúde,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Pronto socorro,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Unidade básica de saúde,Saúde/Assistência Hospitalar e Ambulatorial,Assistência Hospitalar e Ambulatorial
Vacinação,Saúde/Combate a epidemias,Combate a epidemias
Calendário de vacinação da criança,Saúde/Combate a epidemias,Combate a epidemias
Calendário de vacinação do adulto,Saúde/Combate a epidemias,Combate a epidemias
Calendário de vacinação do idoso,Saúde/Combate a epidemias,Combate a epidemias
Vigilância sanitária,Saúde/Vigilância Sanitária,Vigilância Sanitária
Qualidade de produtos para o consumidor,Saúde/Vigilância Sanitária,Vigilância Sanitária
Qualidade de agrotóxicos,Saúde/Vigilância Sanitária,Vigilância Sanitária
Qualidade de alimentos,Saúde/Vigilância Sanitária,Vigilância Sanitária
Qualidade de cosméticos,Saúde/Vigilância Sanitária,Vigilância Sanitária
Qualidade de derivados do tabaco,Saúde/Vigilância Sanitária,Vigilância Sanitária
Qualidade de medicamentos,Saúde/Vigilância Sanitária,Vigilância Sanitária
Qualidade de saneantes,Saúde/Vigilância Sanitária,Vigilância Sanitária
Vacinas,Saúde/Vigilância Sanitária,Vigilância Sanitária
Violência,Saúde,Saúde
Violência contra o idoso,Saúde,Saúde
Violência contra o menor,Saúde,Saúde
Violência de gênero,Saúde,Saúde
Violência doméstica,Saúde,Saúde
Violência urbana,Saúde,Saúde
Trabalho,Trabalho,Trabalho
Fiscalização do trabalho,Trabalho,Trabalho
Legislação trabalhista,Trabalho,Trabalho
Contrato de trabalho,Trabalho,Trabalho
Relações de trabalho,Trabalho,Trabalho
Segurança no trabalho,Trabalho,Trabalho
Mercado de trabalho,Trabalho,Trabalho
Desemprego,Trabalho,Trabalho
Emprego,Trabalho,Trabalho
Demanda de emprego,Trabalho,Trabalho
Oportunidades de emprego,Trabalho,Trabalho
Informações sociais,Trabalho,Trabalho
Política trabalhista,Trabalho,Trabalho
Alimentação do trabalhador,Trabalho,Trabalho
Contribuição previdenciária,Trabalho,Trabalho
Proteção ao trabalhador,Trabalho,Trabalho
Seguro desemprego,Trabalho,Trabalho
Transporte do trabalhador,Trabalho,Trabalho
Profissões e ocupações,Trabalho,Trabalho
Classificação brasileira de ocupações,Trabalho,Trabalho
Entidade representativa de classe,Trabalho,Trabalho
Regulamentação profissional,Trabalho,Trabalho
Qualificação e aprendizagem profissional,Trabalho,Trabalho
Trabalho estrangeiro,Trabalho,Trabalho
Transportes e trânsito,"Transportes, Urbanismo",
Trânsito,Transportes,Transportes
Acidentes de trânsito,Transportes,Transportes
Educação no trânsito,Transportes,Transportes
Prevenção de acidentes de trânsito,Transportes,Transportes
Estatísticas de trânsito,Transportes,Transportes
Mapas,Transportes,Transportes
Multas / infrações,Transportes,Transportes
Parcelamento de multas,Transportes,Transportes
Radares,Transportes,Transportes
Transporte aéreo,Transportes/Transporte Aéreo,Transporte Aéreo
Transporte aquaviário,Transportes/Transporte Hidroviário,Transporte Hidroviário
Autorização de transporte aquaviário,Transportes/Transporte Hidroviário,Transporte Hidroviário
Fiscalização de transporte aquaviário,Transportes/Transporte Hidroviário,Transporte Hidroviário
Infraestrutura de transporte aquaviário,Transportes/Transporte Hidroviário,Transporte Hidroviário
Hidrovias interiores,Transportes/Transporte Hidroviário,Transporte Hidroviário
Portos,Transportes/Transporte Hidroviário,Transporte Hidroviário
Terminais privativos,Transportes/Transporte Hidroviário,Transporte Hidroviário
Marinha mercante,Transportes/Transporte Hidroviário,Transporte Hidroviário
Transporte aquaviário de cargas,Transportes/Transporte Hidroviário,Transporte Hidroviário
Transporte aquaviário de passageiros,Transportes/Transporte Hidroviário,Transporte Hidroviário
Transporte dutoviário,Transportes,Transportes
Gasodutos,Transportes,Transportes
Minerodutos,Transportes,Transportes
Oleodutos,Transportes,Transportes
Transporte especial,Transportes,Transportes
Transporte ferroviário,Transportes/Transporte Ferroviário,Transporte Ferroviário
Concessão de transporte ferroviário,Transportes/Transporte Ferroviário,Transporte Ferroviário
Fiscalização de transporte ferroviário,Transportes/Transporte Ferroviário,Transporte Ferroviário
Infraestrutura de transporte ferroviário,Transportes/Transporte Ferroviário,Transporte Ferroviário
Transporte ferroviário de cargas,Transportes/Transporte Ferroviário,Transporte Ferroviário
Transporte ferroviário de passageiros,Transportes/Transporte Ferroviário,Transporte Ferroviário
Transporte internacional,Transportes,Transportes
Transporte internacional de cargas,Transportes,Transportes
Transporte internacional de passageiros,Transportes,Transportes
Transporte multimodal,Transportes,Transportes
Operador de transporte multimodal,Transportes,Transportes
"Serviços de coleta, unitização, desunitização, movimentação, armazenagem e entrega de cargas ao dest",Transportes,Transportes
Transporte rodoviário,Transportes/Transporte Rodoviário,Transporte Rodoviário
Concessão de transporte rodoviário,Transportes/Transporte Rodoviário,Transporte Rodoviário
Fiscalização de transporte rodoviário,Transportes/Transporte Rodoviário,Transporte Rodoviário
Infraestrutura de transporte rodoviário,Transportes/Transporte Rodoviário,Transporte Rodoviário
Transporte rodoviário de cargas,Transportes/Transporte Rodoviário,Transporte Rodoviário
Transporte rodoviário de passageiros,Transportes/Transporte Rodoviário,Transporte Rodoviário
